target_id,company_name,website,industry,employee_count,estimated_revenue_usd,hq_country,funding_stage,last_funding_date,recent_funding_18mo,recent_leadership_hire_marketing,recent_rebrand_12mo,in_house_creative_team_size,tech_stack,linkedin_followers
TGT-50000,Luma,https://luma.co,HR Tech,1621,80000000,Canada,Bootstrapped,,No,No,No,0,"Salesforce, Pardot, Drupal",2699
TGT-50001,Redshore,https://redshore.com,Manufacturing,521,1000000,USA,Series A,2026-02-28,No,No,No,5,"Pipedrive, Mailchimp, Squarespace",33142
TGT-50002,Nimbus Analytics,https://nimbusanalytics.io,HR Tech,199,18000000,Canada,Seed,2024-03-25,Yes,No,No,19,"Pipedrive, Mailchimp, Squarespace",17736
TGT-50003,Kiln Networks,https://kilnnetworks.com,E-commerce Platform,647,233000000,USA,Series A,2025-12-05,No,No,No,1,"Zoho, Sendinblue, WordPress",54052
TGT-50004,Garnet Labs,https://garnetlabs.io,HR Tech,113,15000000,Canada,Seed,2024-12-22,Yes,No,Yes,1,"Salesforce, Marketo, Contentful, Figma",81898
TGT-50005,Norton Cloud,https://nortoncloud.com,PropTech,1340,4000000,USA,Series A,2024-12-17,No,No,Yes,2,"Pipedrive, Mailchimp, Squarespace",75164
TGT-50006,Covalent Digital,https://covalentdigital.co,HealthTech,39,23000000,USA,Bootstrapped,,No,No,No,5,"Salesforce, Pardot, Drupal",33755
TGT-50007,Oakline Platforms,https://oaklineplatforms.com,FinTech,602,488000000,USA,Seed,2025-10-12,Yes,No,No,1,"Salesforce, Marketo, Contentful, Figma",52963
TGT-50008,Lattice Technologies,https://latticetechnologies.io,FinTech,30,363000000,USA,Seed,2024-07-20,Yes,No,No,0,"HubSpot, Webflow, Notion",56242
TGT-50009,Pioneer Group,https://pioneergroup.ai,B2B SaaS,1619,345000000,USA,Series D+,2025-06-07,No,Yes,No,3,"Pipedrive, Mailchimp, Squarespace",29664
TGT-50010,Nimbus Software,https://nimbussoftware.com,Government,563,20000000,USA,Series D+,2023-12-29,Yes,No,No,5,"Salesforce, Marketo, Contentful, Figma",52689
TGT-50011,Plume Group,https://plumegroup.ai,Legal Tech,1938,3000000,USA,Series B,2024-05-31,No,No,No,10,"Salesforce, Marketo, WordPress",1940
TGT-50012,Plume Systems,https://plumesystems.co,HealthTech,534,111000000,USA,Series B,2024-12-30,No,Yes,No,2,"Pipedrive, Mailchimp, Squarespace",8325
TGT-50013,Nimbus Cloud,https://nimbuscloud.co,MarTech,1202,15000000,Canada,Seed,2025-09-25,Yes,No,No,4,"HubSpot, Webflow, Segment, Gong",5117
TGT-50014,Cinder Software,https://cindersoftware.co,Manufacturing,604,24000000,USA,Bootstrapped,,No,No,No,5,"HubSpot, Webflow, Notion",7392
TGT-50015,Helix Analytics,https://helixanalytics.co,MarTech,1568,22000000,USA,PE-Backed,2024-10-13,No,No,No,1,"HubSpot, Webflow, Segment, Gong",2949
TGT-50016,Meridian Peak Digital,https://meridianpeakdigital.io,Dev Tools,1435,294000000,USA,PE-Backed,2023-12-01,No,No,No,1,"Salesforce, Marketo, Contentful, Figma",32918
TGT-50017,Thornbury AI,https://thornburyai.com,FinTech,36,24000000,USA,Series C,2025-05-13,No,No,No,4,"Zoho, Sendinblue, WordPress",12194
TGT-50018,Norton,https://norton.co,HealthTech,1096,128000000,USA,Series C,2025-01-01,No,No,No,4,"HubSpot, Webflow, Segment, Gong",55468
TGT-50019,Cinder Technologies,https://cindertechnologies.com,Logistics,119,37000000,Canada,Bootstrapped,,Yes,No,No,1,"Salesforce, Marketo, Contentful, Figma",65527
TGT-50020,Riverbend Health,https://riverbendhealth.io,HR Tech,191,239000000,Canada,Series B,2025-03-07,Yes,No,No,10,"Pipedrive, Mailchimp, Squarespace",10393
TGT-50021,Oakline Technologies,https://oaklinetechnologies.com,PropTech,35,2000000,USA,Series A,2025-03-23,Yes,No,No,4,"HubSpot, Webflow, Notion",32897
TGT-50022,Foxglove Group,https://foxglovegroup.io,E-commerce Platform,39,1000000,UK,Public,,No,No,No,4,"Pipedrive, Mailchimp, Squarespace",34508
TGT-50023,Pioneer Health,https://pioneerhealth.ai,B2B SaaS,42,142000000,USA,PE-Backed,2025-10-21,No,Yes,No,16,"HubSpot, Figma, Intercom",5148
TGT-50024,Silverleaf,https://silverleaf.com,Data & Analytics,110,3000000,Germany,Series A,2024-03-17,No,No,No,1,"HubSpot, Figma, Intercom",35573
TGT-50025,Vantage Analytics,https://vantageanalytics.co,Cybersecurity,1133,4000000,USA,Series A,2024-02-11,Yes,Yes,No,1,"HubSpot, Figma, Intercom",51430
TGT-50026,Kiln Group,https://kilngroup.ai,Legal Tech,1572,439000000,UK,Series A,2024-12-27,No,Yes,No,3,"Pipedrive, Mailchimp, Squarespace",2863
