target_id,company_name,intent_topic_spike,intent_score_0_100,job_postings_marketing_design,recent_news_headline,exec_change_last_90d,g2_reviews_count,employees_added_last_90d
TGT-50000,Luma,rebrand,86,7,,Yes,323,21
TGT-50001,Redshore,rebrand,85,9,,No,309,41
TGT-50002,Nimbus Analytics,brand strategy,27,1,Nimbus Analytics raises new round to expand product line,No,271,12
TGT-50003,Kiln Networks,positioning,71,11,Kiln Networks raises new round to expand product line,No,435,29
TGT-50004,Garnet Labs,positioning,32,8,Garnet Labs launches new enterprise tier,No,22,19
TGT-50005,Norton Cloud,,31,3,Norton Cloud announces acquisition of regional competitor,No,407,25
TGT-50006,Covalent Digital,,48,11,Covalent Digital launches new enterprise tier,No,324,2
TGT-50007,Oakline Platforms,design system,7,2,Oakline Platforms raises new round to expand product line,Yes,343,49
TGT-50008,Lattice Technologies,brand strategy,54,11,Lattice Technologies launches new enterprise tier,No,212,23
TGT-50009,Pioneer Group,brand strategy,40,10,,No,243,66
TGT-50010,Nimbus Software,,38,3,,Yes,255,77
TGT-50011,Plume Group,,1,11,Plume Group names new Chief Marketing Officer,No,88,67
TGT-50012,Plume Systems,go-to-market,90,3,Plume Systems launches new enterprise tier,Yes,214,79
TGT-50013,Nimbus Cloud,,67,7,Nimbus Cloud raises new round to expand product line,No,41,27
TGT-50014,Cinder Software,go-to-market,62,8,,Yes,323,78
TGT-50015,Helix Analytics,creative agency,25,11,Helix Analytics raises new round to expand product line,No,85,0
TGT-50016,Meridian Peak Digital,creative agency,85,5,Meridian Peak Digital launches new enterprise tier,No,138,46
TGT-50017,Thornbury AI,,77,4,,No,100,-1
TGT-50018,Norton,creative agency,69,2,Norton launches new enterprise tier,Yes,413,-11
TGT-50019,Cinder Technologies,go-to-market,83,9,Cinder Technologies launches new enterprise tier,No,69,-11
TGT-50020,Riverbend Health,,39,0,Riverbend Health launches new enterprise tier,No,366,36
TGT-50021,Oakline Technologies,positioning,1,12,Oakline Technologies raises new round to expand product line,No,229,22
TGT-50022,Foxglove Group,design system,49,2,Foxglove Group raises new round to expand product line,No,357,47
TGT-50023,Pioneer Health,,84,5,Pioneer Health launches new enterprise tier,No,64,25
TGT-50024,Silverleaf,go-to-market,84,4,Silverleaf names new Chief Marketing Officer,No,287,39
TGT-50025,Vantage Analytics,design system,58,2,,Yes,310,-8
TGT-50026,Kiln Group,creative agency,20,2,,No,315,19
TGT-50027,Monarch Systems,brand strategy,55,10,Monarch Systems raises new round to expand product line,Yes,396,18
TGT-50028,Willowrun,rebrand,29,8,Willowrun names new Chief Marketing Officer,No,119,56
TGT-50029,Ember AI,design system,85,8,,Yes,121,63
TGT-50030,Brightlane Labs,website redesign,25,8,,No,268,34
TGT-50031,Nimbus AI,website redesign,19,5,,No,216,68
TGT-50032,Thornbury Group,,94,6,Thornbury Group names new Chief Marketing Officer,No,220,-4
TGT-50033,Kiln Health,brand strategy,29,5,Kiln Health launches new enterprise tier,No,137,67
TGT-50034,Ironwood Financial,,6,8,Ironwood Financial announces acquisition of regional competitor,Yes,333,-5
TGT-50035,Terrace Analytics,positioning,98,9,Terrace Analytics names new Chief Marketing Officer,No,246,14
TGT-50036,Lattice Platforms,,46,0,,No,26,78
TGT-50037,Opal Platforms,rebrand,19,6,Opal Platforms launches new enterprise tier,No,437,34
TGT-50038,Silverleaf Software,,4,9,Silverleaf Software launches new enterprise tier,Yes,309,-11
TGT-50039,Terrace Digital,,10,0,Terrace Digital raises new round to expand product line,No,220,35
TGT-50040,Thornbury Health,go-to-market,85,9,Thornbury Health announces acquisition of regional competitor,No,159,77
TGT-50041,Silverleaf Networks,category creation,4,0,Silverleaf Networks raises new round to expand product line,No,265,19
