account_id,company_name,domain,industry,employee_count_band,estimated_arr_usd,hq_city,lifecycle_stage,hubspot_owner,first_touch_date,last_activity_date,lead_source
ACC-1000,Thornbury Labs,thornburylabs.com,Data & Analytics,201-500,10000000,Austin,lead,Theo Blackwood,2025-03-03,2026-01-08,Event
ACC-1001,Cinder Cloud,cindercloud.ai,B2B SaaS,11-50,5000000,Austin,lead,Ava Morgenstern,2025-05-01,2026-03-18,Partner
ACC-1002,Upland Software,uplandsoftware.ai,PropTech,501-1000,100000000,Chicago,customer,Ava Morgenstern,2025-01-20,2025-12-30,Outbound - Email
ACC-1003,Garnet Digital,garnetdigital.co,HealthTech,51-200,25000000,New York,lead,Theo Blackwood,2025-08-13,2025-12-25,Outbound - LinkedIn
ACC-1004,Riverbend AI,riverbendai.com,Data & Analytics,501-1000,100000000,New York,evangelist,Naomi Fielding,2026-01-03,2026-02-01,Outbound - LinkedIn
ACC-1005,Thornbury Cloud,thornburycloud.co,E-commerce Platform,51-200,250000000,New York,lead,Samuel Okafor,2025-01-13,2026-03-06,Inbound - Website
ACC-1006,Quill Logistics,quilllogistics.com,MarTech,201-500,50000000,Boston,lead,Dmitri Lazarev,2025-10-28,2026-01-17,Outbound - LinkedIn
ACC-1007,Upland Labs,uplandlabs.io,Legal Tech,51-200,10000000,Denver,marketing qualified lead,Samuel Okafor,2025-02-27,2026-03-02,Inbound - Website
ACC-1008,Kestrel Health,kestrelhealth.co,MarTech,201-500,5000000,Austin,customer,Dmitri Lazarev,2025-10-27,2026-01-19,Referral
ACC-1009,Ember Financial,emberfinancial.ai,HealthTech,201-500,10000000,Austin,opportunity,Clara Voss,2025-01-26,2026-01-28,Referral
ACC-1010,Quest Platforms,questplatforms.co,PropTech,51-200,100000000,Denver,lead,Ava Morgenstern,2024-11-29,2026-03-29,Outbound - Email
ACC-1011,Thornbury Systems,thornburysystems.ai,E-commerce Platform,11-50,50000000,Vancouver,sales qualified lead,Jordan Ellis,2025-05-18,2026-03-11,Event
ACC-1012,Northwind Group,northwindgroup.com,Dev Tools,1001-5000,25000000,Boston,lead,Naomi Fielding,2025-11-24,2026-02-13,Inbound - Website
ACC-1013,Silverleaf Analytics,silverleafanalytics.io,Legal Tech,11-50,250000000,Chicago,customer,Samuel Okafor,2025-11-26,2026-02-24,Outbound - Email
ACC-1014,Norton Health,nortonhealth.com,E-commerce Platform,201-500,50000000,Toronto,lead,Dmitri Lazarev,2024-11-20,2025-12-27,Outbound - LinkedIn
ACC-1015,Redshore,redshore.io,E-commerce Platform,11-50,5000000,Denver,customer,Priya Raman,2025-12-09,2026-01-18,Referral
ACC-1016,Opal Systems,opalsystems.co,Legal Tech,1001-5000,50000000,Austin,customer,Samuel Okafor,2025-02-12,2026-03-04,Referral
ACC-1017,Valence Group,valencegroup.co,HR Tech,1001-5000,50000000,New York,lead,Theo Blackwood,2025-08-23,2026-04-10,Event
ACC-1018,Opal Technologies,opaltechnologies.io,B2B SaaS,11-50,250000000,Toronto,lead,Ava Morgenstern,2024-11-29,2026-03-01,Inbound - Website
ACC-1019,Lattice Technologies,latticetechnologies.co,Dev Tools,501-1000,10000000,Atlanta,lead,Jordan Ellis,2025-10-11,2026-01-02,Referral
ACC-1020,Flint Technologies,flinttechnologies.com,FinTech,501-1000,25000000,Vancouver,marketing qualified lead,Ava Morgenstern,2025-03-05,2026-01-19,Partner
ACC-1021,Foxglove,foxglove.ai,Data & Analytics,201-500,5000000,Austin,lead,Jordan Ellis,2025-12-03,2026-02-17,Outbound - Email
ACC-1022,Terrace Networks,terracenetworks.io,EdTech,11-50,50000000,Atlanta,lead,Ava Morgenstern,2025-12-27,2025-12-15,Outbound - Email
ACC-1023,Monarch Platforms,monarchplatforms.ai,HR Tech,51-200,50000000,Toronto,lead,Ava Morgenstern,2025-07-28,2026-03-10,Referral
