deal_id,account_id,deal_name,stage,amount_usd,created_date,expected_close_date,deal_owner,next_step,loss_reason
DEAL-2000,ACC-1169,Kiln Analytics - Brand System,Discovery,120000,2026-01-02,2026-04-16,Samuel Okafor,Re-engaging after summer pause,
DEAL-2001,ACC-1037,Juniper Technologies - Content Engine,Negotiation,240000,2025-10-16,2026-01-03,Samuel Okafor,Contract redlines in progress,
DEAL-2002,ACC-1114,Pioneer Labs - Content Engine,Discovery,400000,2025-10-03,2025-12-10,Ava Morgenstern,Re-engaging after summer pause,
DEAL-2003,ACC-1233,Meridian Peak - Content Engine,Negotiation,240000,2025-09-19,2025-10-30,Samuel Okafor,Awaiting proposal feedback,
DEAL-2004,ACC-1156,Riverbend Analytics - Brand System,Closed Lost,240000,2026-01-08,2026-03-16,Clara Voss,Intro to procurement pending,Internal resource
DEAL-2005,ACC-1247,Drift - Campaign,Discovery,400000,2025-09-12,2025-10-26,Samuel Okafor,Re-engaging after summer pause,
DEAL-2006,ACC-1007,Upland Labs - Campaign,Scoping,400000,2025-08-25,2025-12-13,Samuel Okafor,Waiting on budget confirmation,
DEAL-2007,ACC-1097,Foxglove Networks - Website Rebuild,Proposal Sent,240000,2025-11-26,2026-03-20,Ava Morgenstern,Reviewing scope with exec sponsor,
DEAL-2008,ACC-1035,Redshore Group - Website Rebuild,Discovery,240000,2025-09-11,2025-12-03,Samuel Okafor,Intro to procurement pending,
DEAL-2009,ACC-1223,Meridian Peak Digital - Brand System,Negotiation,120000,2026-03-09,2026-04-17,Jordan Ellis,Follow-up call scheduled,
DEAL-2010,ACC-1184,Beacon - Brand System,Closed Won,400000,2025-08-03,2025-09-19,Ava Morgenstern,Follow-up call scheduled,
DEAL-2011,ACC-1164,Foxglove Labs - Website Rebuild,Closed Won,240000,2025-08-09,2025-11-26,Naomi Fielding,Reviewing scope with exec sponsor,
DEAL-2012,ACC-1130,Quest Networks - Website Rebuild,Proposal Sent,240000,2025-08-30,2025-11-13,Samuel Okafor,Follow-up call scheduled,
DEAL-2013,ACC-1108,Silverleaf Cloud - Content Engine,Negotiation,320000,2025-07-02,2025-08-31,Dmitri Lazarev,Intro to procurement pending,
DEAL-2014,ACC-1105,Umbra Digital - Brand System,Closed Lost,320000,2025-09-08,2025-10-12,Dmitri Lazarev,Contract redlines in progress,No decision
DEAL-2015,ACC-1180,Helix Platforms - Brand System,Scoping,320000,2025-07-11,2025-11-06,Dmitri Lazarev,Follow-up call scheduled,
DEAL-2016,ACC-1186,Umbra Labs - Brand System,Negotiation,180000,2025-07-19,2025-10-23,Theo Blackwood,Contract redlines in progress,
